ANTARES_naming;Category
nuclear_nuclear;Nuclear [MW]
hard coal_old 1;Hard coal old 1 [MW]
hard coal_old 2;Hard coal old 2 [MW]
hard coal_new;Hard coal new [MW]
hard coal_ccs;Hard coal CCS [MW]
lignite_old 1;Lignite old 1 [MW]
lignite_old 2;Lignite old 2 [MW]
lignite_new;Lignite new [MW]
lignite_ccs;Lignite CCS [MW]
gas_conventional old 1;Gas conventional old 1 [MW]
gas_conventional old 2;Gas conventional old 2 [MW]
gas_ccgt old 1;Gas CCGT old 1 [MW]
gas_ccgt old 2;Gas CCGT old 2 [MW]
gas_ccgt present 1;Gas CCGT present 1 [MW]
gas_ccgt present 2;Gas CCGT present 2 [MW]
gas_ccgt new;Gas CCGT new [MW]
gas_ccgt ccs;Gas CCGT CCS [MW]
gas_ocgt old;Gas OCGT old [MW]
gas_ocgt new;Gas OCGT new [MW]
light oil_light oil;Light oil [MW]
heavy oil_old 1;Heavy oil old 1 [MW]
heavy oil_old 2;Heavy oil old 2 [MW]
oil shale_old;Oil shale old [MW]
oil shale_new;Oil shale new [MW]
lignite_bio;Lignite biofuel [MW]
hard coal_bio;Hard Coal biofuel [MW]
gas_bio;Gas biofuel [MW]
light oil_bio;Light oil biofuel [MW]
heavy oil_bio;Heavy oil biofuel [MW]
oil shale_bio;Oil shale biofuel [MW]
OV. COST;Overall cost [€]
OP. COST;Operating Cost [€]
NP COST;Non Proportional costs [€]
MRG. PRICE;Marginal Price [€/MWh]
CO2 EMIS.;CO2 emissions [tCO2]
BALANCE;Balance [MW]
ROW BAL.;RoW Balance [MW]
PSP_pos;Pump Storage (turbine) [MW]
PSP_neg;Pump Storage (pump) [MW]
MISC. NDG;Others renewable [MW]
LOAD;Demand [MW]
H. ROR;Run-of-River and pondage [MW]
WIND;Wind generation [MW]
SOLAR;Solar generation [MW]
NUCLEAR;Nuclear generation [MW]
COAL;Coal generation [MW]
LIGNITE;Lignite generation [MW]
GAS;Gas generation [MW]
OIL;Oil generation [MW]
MIX. FUEL;Mix Fuel generation [MW]
MISC. DTG;Other Fuel generation [MW]
H. STOR;Reservoir [MW]
UNSP. ENRG;Energy Not Served [MW]
SPIL. ENRG;Dumped Energy [MW]
LOLD;Loss of Load Duration [h]
LOLP;Loss of Load Probability [%]
AVL DTG;Available Thermal Generation [MW]
DTG MRG;Margin on Thermal Units [MW]
MAX MRG;Maximum Margin [MW]
NODU;NODU
FLOW LIN.;Flow [MW]
UCAP LIN.;MW
FLOW QUAD.;MW
CONG. FEE (ALG.);€
CONG. FEE (ABS.);€
MARG. COST;Marginal Cost [€/MW]
CONG. PROB +;Congestion Prob. Direct [%]
CONG. PROB -;Congestion Prob. Indirect [%]
HURDLE COST;Hurdle cost [€]
